feature,frequency
i,124
do,27
n't,14
know,11
a,51
lot,4
about,23
the,97
canine,10
breeder,10
community,12
.,112
one,5
thing,5
not,16
understand,5
is,26
why,4
we,5
would,18
continue,2
to,95
breed,9
dog,20
breeds,15
that,50
are,35
anatomically,1
unsound,1
breeders,28
very,8
passionate,1
work,11
they,25
think,29
there,14
likely,1
uphold,1
standars,1
which,3
make,5
it,23
difficult,2
for,31
those,4
this,16
with,26
good,3
intentions,1
" 
",11
certain,9
great,7
as,25
working,2
dogs,31
and,85
thus,1
need,4
breeding,22
them,8
purebred,10
outside,1
of,55
environment,2
appreciate,1
effort,1
must,1
take,6
safely,2
consciously,1
undertake,1
like,15
other,5
interests,1
",",80
an,11
area,1
have,32
strong,3
opinion,1
on,16
friends,1
love,8
partaking,1
in,45
such,2
events,4
much,4
so,7
feelings,2
either,3
direction,1
am,10
interested,8
selection,2
process,4
how,18
looking,3
at,4
genetics,4
physiological,1
considerations,3
properly,2
time,3
reproductive,2
physiology,1
explore,2
if,12
specialty,2
could,7
actually,1
expand,1
interest,1
species,4
but,11
want,9
start,1
feel,7
most,3
resources,5
impacts,1
tables,1
canines,1
well,10
help,3
apply,1
knowledge,2
will,5
learn,8
semester,3
allow,2
comparison,1
learning,6
perspective,1
importance,1
information,5
entered,1
into,7
field,4
what,15
be,25
important,7
me,6
recognize,2
veterinarian,2
when,7
interacting,1
 ,4
canine breeder,2
breeder community,3
breed dog,1
dog breeds,3
anatomically unsound,1
likely breeders,1
uphold standars,1
good intentions,1
certain breeds,3
working dogs,1
purebred dogs,7
dogs outside,1
working environment,1
consciously undertake,1
undertake dog,1
dog breeding,3
strong opinion,1
love partaking,1
strong feelings,1
selection process,2
physiological considerations,1
properly time,1
time breeding,1
reproductive physiology,1
actually work,1
impacts breeding,1
time tables,1
help apply,1
comparison learning,1
know a lot,1
canine breeder community,2
continue to breed,1
breed dog breeds,1
know that breeders,1
work with good,1
great as working,1
need for breeding,1
understand the need,1
need for purebred,1
purebred dogs outside,1
appreciate the effort,1
safely and consciously,1
consciously undertake dog,1
undertake dog breeding,1
like other interests,1
friends that love,1
looking at genetics,1
considerations to properly,1
properly time breeding,1
interested in reproductive,1
like to explore,2
like to expand,1
expand this interest,1
want to start,1
start with canine,1
species i feel,1
feel i know,1
resources for genetics,1
tables for breeding,1
breeding and considerations,1
considerations for canines,1
resources that help,1
apply the knowledge,1
learn this semester,1
species to allow,1
allow for comparison,1
importance of breeding,1
veterinarian when interacting,1
interacting with breeders,1
little,3
experience,8
however,4
exposure,2
had,4
been,4
polar,1
opposite,1
ends,1
've,6
experiences,5
where,2
educated,1
proper,2
vaccination,1
veterinary,4
care,5
while,1
also,18
told,2
their,10
clients,3
get,7
core,1
vaccines,1
just,10
more,10
better,2
representation,1
comfotable,1
pure,2
bred,13
responsibly,2
thought,1
back,1
my,11
mind,1
surplus,1
away,1
opportunity,1
shelter,1
adopted,1
any,9
shows,6
way,5
give,1
job,1
/,7
purpose,7
long,1
being,4
overworked,1
's,13
keep,1
mentally,1
physically,1
stimulated,1
generics,1
theriogenology,2
therefore,1
wanted,2
selective,3
foot,1
door,1
see,3
something,2
enjoy,2
characteristics,1
genetic,5
testing,2
determine,1
predisposition,1
even,2
during,1
pregnancy,1
or,11
unfamiliar,1
try,1
having,2
facebook,1
page,1
contacts,1
was,4
really,8
helpful,4
library,1
then,1
addition,1
background,1
history,4
mentor,2
paired,1
idea,2
has,5
knowing,1
use,4
(,7
sources,1
veterinarians,3
etc,6
),8
themselves,2
go,2
little experience,2
little exposure,1
polar opposite,1
opposite ends,1
proper vaccination,1
veterinary care,1
certain core,1
core vaccines,1
better representation,1
pure bred,2
bred dogs,5
bred responsibly,1
bred dog,1
dog breeders,1
shelter dogs,1
canine shows,2
think dog,1
dog shows,3
great way,2
good way,1
canine generics,1
genetic testing,2
think having,1
facebook page,1
good addition,1
background history,1
breeder mentor,2
work history,1
think knowing,1
veterinary sources,1
breeding process,1
polar opposite ends,1
educated in proper,1
vaccination and veterinary,1
experiences where breeders,1
breeders have told,1
told their clients,1
certain core vaccines,1
need more exposure,1
comfotable with breeding,1
breeding of pure,1
pure bred dogs,1
want the dogs,1
responsibly and properly,1
surplus of pure,1
pure bred dog,1
bred dog breeders,1
away the opportunity,1
opportunity for shelter,1
experience with canine,3
think dog shows,1
dogs a job,1
mentally and physically,1
generics and theriogenology,1
want to understand,1
understand the process,1
characteristics a breeder,1
breeder is looking,1
testing to determine,1
think this selective,1
interested or unfamiliar,1
field a try,1
having the facebook,1
page and contacts,1
like the background,1
knowing what resources,1
resources they use,1
breeder themselves use,1
mixed,2
focused,2
maintaining,1
healthy,3
aspects,1
too,1
many,4
backyard,1
inexperienced,1
health,6
able,4
tell,1
difference,1
advocate,2
"
 ",1
personally,2
entirely,2
agree,1
continued,1
brachycephalic,1
believe,5
people,10
often,3
overlook,1
',1
personalities,1
focus,1
looks,1
"""",8
bad,4
sometimes,2
right,3
"
",18
assumptions,1
might,3
incorrect,1
some,5
standards,2
unhealthy,1
short,1
muzzles,1
still,2
applauded,1
'm,10
exploring,1
akc,2
look,1
out,4
best,4
explain,1
these,3
kinds,1
things,4
family,2
besides,1
honestly,1
sure,5
contact,1
ways,3
alongside,1
traits,1
genes,1
impact,1
medical,1
specific,7
vet,2
provide,1
hands,1
-,6
whelping,2
breeding/,1
mixed feelings,1
breeders focused,1
maintaining healthy,1
healthy aspects,1
breeding safely,1
backyard breeders,1
inexperienced breeders,1
healthy dogs,1
entirely agree,1
continued breeding,1
brachycephalic dogs,1
overlook purebred,1
bad dogs,1
right environment,1
breed standards,2
short muzzles,1
certain breed,1
breeders look,1
best way,1
think contact,1
best ways,1
alongside learning,1
certain traits,1
impact medical,1
medical care,1
specific breeds,3
provide hands,1
breeding/ selection,1
feelings about breeders,1
breeders and dog,1
focused on maintaining,1
maintaining healthy aspects,1
aspects of breeds,1
breeds and breeding,1
breeders or inexperienced,1
focused on health,1
able to tell,1
tell the difference,1
difference and learn,1
advocate for healthy,1
breeding of brachycephalic,1
believe that people,1
people often overlook,1
overlook purebred dogs,1
focus on looks,1
standards are unhealthy,1
interested in exploring,1
exploring why akc,1
akc has certain,1
certain breed standards,1
way to explain,1
explain these kinds,1
kinds of things,1
things to clients,1
clients and family,1
honestly not sure,1
contact with breeders,1
ways to learn,1
learning about certain,1
traits and genes,1
genes that impact,1
impact medical care,1
care for specific,1
important to learn,1
able to provide,1
breeding/ selection process,1
no,2
professional,1
kind,1
few,1
owners,1
adamant,1
despite,1
recommendation,1
stated,1
plainly,1
sell,2
puppies,2
small,2
cohort,1
exposed,1
far,1
"

",6
!,8
only,2
seen,3
agility,3
show,3
fascinating,1
awesome,3
animal,5
human,3
bond,2
conformation,2
belief,3
parents,1
silly,1
delivery,1
by,2
c,1
section,1
natural,1
birthing,1
curious,3
planning,1
goes,2
finished,2
first,2
taking,1
everything,2
got,2
doing,2
full,1
profession,2
limited,1
passion,1
type,1
business,2
model,1
valuable,2
professional breeders,1
owners adamant,1
dogs despite,1
veterinarians recommendation,1
stated plainly,1
sell puppies,1
small cohort,1
purpose bred,4
animal human,1
human bond,1
conformation shows,1
parents told,1
c section,1
natural birthing,1
entirely sure,1
time profession,1
limited information,1
business model,1
adamant about breeding,1
breeding their dogs,1
recommendation or stated,1
looking to sell,1
purpose bred dogs,4
seen the agility,1
think is fascinating,1
fascinating and awesome,1
animal human bond,1
seen any conformation,1
belief my parents,1
interested in delivery,1
section or natural,1
curious to know,1
know the planning,1
planning that goes,1
love to know,1
information so learning,1
type of business,1
model i think,1
based,1
prior,1
medicine,3
relationship,2
between,2
specialists,1
can,8
tenuous,1
experts,1
different,6
odds,1
understanding,1
determination,1
promote,2
welfare,3
met,1
precautions,1
underlying,2
assumption,1
line,1
financial,1
gain,1
enhances,1
conformational,1
features,2
without,1
factoring,1
may,5
linked,1
disorders,2
predispositions,1
poor,1
notion,1
all,3
lemons,1
terms,4
serve,2
function,1
aiding,1
who,4
differently,1
abled,1
perform,1
rewarding,1
done,1
reasons,2
sporting,2
beneficial,1
both,2
its,3
trainer,1
partner,1
promoting,1
showing,1
room,1
conscious,1
conformations,1
available,1
public,2
racing,2
particularly,1
fond,1
greyhound,1
because,4
high,1
risk,1
aftermath,1
once,1
career,1
grim,1
estrous,1
cycle,1
gestation,1
areas,2
current,2
practices,2
across,1
varied,1
sizes,1
diseases,1
common,2
affairs,1
world,1
regulatory,1
side,2
'd,5
sit,2
screening,1
exams,2
bitch,1
stud,1
possible,1
examinations,1
ofa,1
maybe,1
ust,1
providing,1
list,1
reference,1
texts,1
videos,1
emails,1
regarding,1
potential,1
summer,1
break,1
opportunities,1
related,1
role,2
hear,1
fit,1
itself,1
changed,1
husbandry,1
prior experiences,1
specialty medicine,1
small animal,1
animal specialists,1
different ways,1
strong determination,1
promote animal,1
animal welfare,2
met breeders,1
proper precautions,1
underlying assumption,1
financial gain,1
enhances certain,1
certain conformational,1
conformational features,1
certain genetic,1
genetic disorders,1
poor health,1
underlying notion,1
important community,1
community function,1
differently abled,1
perform important,1
important work,1
think like,1
right reasons,1
sporting events,1
human animal,1
animal bond,1
canine showing,1
conscious conformations,1
canine racing,1
particularly fond,1
greyhound racing,1
feel like,4
high risk,1
estrous cycle,1
current breeding,1
breeding practices,1
varied sizes,1
genetic diseases,1
disorders common,1
current affairs,1
breeding world,1
screening exams,1
ofa exams,1
exams etc,1
maybe ust,1
ust providing,1
reference texts,1
potential summer,1
break opportunities,1
opportunities related,1
veterinary field,1
veterinary medicine,1
based on prior,1
relationship between small,1
small animal specialists,1
specialists and breeders,1
experts in different,1
promote animal welfare,1
line of work,1
work for financial,1
belief that purebred,1
way that enhances,1
enhances certain conformational,1
certain conformational features,1
linked to certain,1
certain genetic disorders,1
disorders and predispositions,1
predispositions to poor,1
terms of purpose,1
think they serve,2
serve an important,1
important community function,1
function in terms,1
terms of aiding,1
perform important work,1
like all things,1
agility and sporting,1
promoting the human,1
human animal bond,1
terms of canine,2
room to promote,1
promote more health,1
knowledge more available,1
fond of greyhound,1
like its high,1
canine is finished,1
cycle and gestation,1
lot of experience,1
areas of medicine,1
current breeding practices,1
practices across breeds,1
breeds of varied,1
interested in learning,1
diseases and disorders,1
common to certain,1
interested in current,1
love to sit,2
bitch and stud,1
stud if possible,1
ofa exams etc,1
maybe ust providing,1
providing a list,1
list of reference,1
texts and videos,1
emails regarding potential,1
summer or break,1
break opportunities related,1
experience is etc,1
feel they fit,1
field and veterinary,1
relationship with veterinarians,1
veterinarians has changed,1
want to learn,2
ethical,2
preservation,1
functional,1
does,2
equal,1
multiple,1
meanings,1
context,1
dependent,1
informed,1
essential,1
future,2
integral,1
part,1
culture,1
shaped,1
serving,1
guardians,1
hunters,1
sheepdogs,1
military,1
police,1
assistance,1
course,1
companionship,1
predictability,1
comes,2
along,1
owning,1
purebreds,1
among,1
own,1
luxury,1
privilege,1
accessible,1
should,3
adopt,1
shop,1
role(s,1
others,1
situation,1
originally,1
acknowledge,1
needs,2
goals,1
modern,1
age,1
hypertypes,1
become,2
problem,1
ring,1
politics,2
insular,1
nature,1
communities,1
fancy,2
contributing,1
aging,1
population,1
fanciers,1
increased,1
attrition,1
rate,1
serious,1
competitor,1
myself,1
competitive,1
aspect,1
sports,1
end,1
day,1
fun,1
your,1
plans,1
special,1
unique,1
extreme,1
body,1
types,2
cycling,1
patterns,1
litter,1
puppy,1
records,1
keeping,1
always,1
new,2
sa,1
therio,1
open,2
anything,1
specialist,1
handle,1
challenging,1
conversations,1
manage,1
viewpoints,1
client,2
info,1
trends,1
technological,1
advancements,1
repro,1
connections,1
main,1
foster,1
relationships,1
now,1
support,1
intimately,1
base,1
improvement,1
together,1
betterment,1
&,1
ethical preservation,1
preservation breeding,1
believe purebred,1
multiple meanings,1
context dependent,1
ethical breeders,1
human culture,1
shaped history,1
police dogs,1
assistance dogs,1
sporting dogs,1
course companionship,1
bred purebreds,1
shop responsibly,1
originally bred,1
different needs,1
modern age,1
like hypertypes,1
breed politics,1
insular nature,1
dog fancy,2
aging population,1
dog fanciers,1
increased attrition,1
attrition rate,1
competitive aspect,1
dog sports,1
having fun,1
breeding plans,1
special breeding,1
